00c02812  4ef900fc5a58             jmp 0x00fc5a58.l
00c0f116  33fc00b000c45ad4         move.w #0xb0,(0x00c45ad4).l
00c0f11e  4eb900c1518c             jsr 0x00c1518c.l
00c0f124  33fc00c000c45ad4         move.w #0xc0,(0x00c45ad4).l
00c0f12c  4eb900c11bfc             jsr 0x00c11bfc.l
00c0f132  4eb900c12950             jsr 0x00c12950.l
00c0f138  33fc00d000c45ad4         move.w #0xd0,(0x00c45ad4).l
00c0f140  103900c45785             move.b (0x00c45785).l,D0b
00c0f146  4a00                     tst.b D0b
00c0f148  670a                     beq.b 0x00c0f154
00c0f154  303900c458dc             move.w (0x00c458dc).l,D0w
00c0f15a  7209                     moveq 0x9,D1
00c0f15c  48c0                     ext.l D0
00c0f15e  e3a0                     asl.l D1,D0
00c0f160  2040                     movea.l D0,A0
00c0f162  d1fc00c46184             adda.l #0xc46184,A0
00c0f168  10280062                 move.b (0x62,A0),D0b
00c0f16c  0c000030                 cmpi.b #0x30,D0b
00c0f170  660a                     bne.b 0x00c0f17c
00c0f17c  4eb900c30764             jsr 0x00c30764.l
00c0f182  4eb900c309b6             jsr 0x00c309b6.l
00c0f188  4eb900c31226             jsr 0x00c31226.l
00c0f18e  4eb900c332bc             jsr 0x00c332bc.l
00c11bfc  4e56fff4                 link.w A6,-0xc
00c11c00  422efff8                 clr.b (-0x8,A6)
00c11c04  303900c45ae0             move.w (0x00c45ae0).l,D0w
00c11c0a  3d40fffc                 move.w D0w,(-0x4,A6)
00c11c0e  024000ff                 andi.w #0xff,D0w
00c11c12  2d7900c45b50fff4         move.l (0x00c45b50).l,(-0xc,A6)
00c11c1a  323900c458cc             move.w (0x00c458cc).l,D1w
00c11c20  3d40fffa                 move.w D0w,(-0x6,A6)
00c11c24  08010000                 btst.l #0x0,D1
00c11c28  66000152                 bne.w 0x00c11d7c
00c11c2c  303900c458c8             move.w (0x00c458c8).l,D0w
00c11c32  02408000                 andi.w #-0x8000,D0w
00c11c36  4a40                     tst.w D0w
00c11c38  670a                     beq.b 0x00c11c44
00c11c44  303900c458d6             move.w (0x00c458d6).l,D0w
00c11c4a  08000005                 btst.l #0x5,D0
00c11c4e  670a                     beq.b 0x00c11c5a
00c11c5a  4aaefff4                 tst.l (-0xc,A6)
00c11c5e  660a                     bne.b 0x00c11c6a
00c11c60  4a3900c4586e             tst.b (0x00c4586e).l
00c11c66  670000f2                 beq.w 0x00c11d5a
00c11d5a  303900c458cc             move.w (0x00c458cc).l,D0w
00c11d60  08000002                 btst.l #0x2,D0
00c11d64  6604                     bne.b 0x00c11d6a
00c11d66  426efffc                 clr.w (-0x4,A6)
00c11d6a  303900c458cc             move.w (0x00c458cc).l,D0w
00c11d70  0240ff7f                 andi.w #-0x81,D0w
00c11d74  33c000c458cc             move.w D0w,(0x00c458cc).l
00c11d7a  601e                     bra.b 0x00c11d9a
00c11d9a  303900c45ae2             move.w (0x00c45ae2).l,D0w
00c11da0  024000ff                 andi.w #0xff,D0w
00c11da4  322efffc                 move.w (-0x4,A6),D1w
00c11da8  024100ff                 andi.w #0xff,D1w
00c11dac  b041                     cmp.w D1w,D0w
00c11dae  6700008c                 beq.w 0x00c11e3c
00c11e3c  303900c45ae0             move.w (0x00c45ae0).l,D0w
00c11e42  02408000                 andi.w #-0x8000,D0w
00c11e46  4a40                     tst.w D0w
00c11e48  6700015e                 beq.w 0x00c11fa8
00c11fa8  303900c45ae0             move.w (0x00c45ae0).l,D0w
00c11fae  0800000e                 btst.l #0xe,D0
00c11fb2  670000a8                 beq.w 0x00c1205c
00c1205c  33f900c45ae000c45ade     move.w (0x00c45ae0).l,(0x00c45ade).l
00c12066  103900c45862             move.b (0x00c45862).l,D0b
00c1206c  020000c0                 andi.b #-0x40,D0b
00c12070  13c000c45862             move.b D0b,(0x00c45862).l
