00c0f4a6  42a7                     clr.l -(SP)
00c0f4a8  4eb900c17b08             jsr 0x00c17b08.l
00c17b08  4e560000                 link.w A6,0x0
00c17b0c  202e0008                 move.l (0x8,A6),D0
00c17b10  e580                     asl.l #0x2,D0
00c17b12  2040                     movea.l D0,A0
00c17b14  d1fc00c4fe38             adda.l #0xc4fe38,A0
00c17b1a  4290                     clr.l (A0)
00c17b1c  2f2e0008                 move.l (0x8,A6),-(SP)
00c17b20  4eb900c4ffb0             jsr 0x00c4ffb0.l
00c1ad74  4e560000                 link.w A6,0x0
00c1ad78  202e0008                 move.l (0x8,A6),D0
00c1ad7c  4e5e                     unlk A6
00c1ad7e  4a3900c457d5             tst.b (0x00c457d5).l
00c1ad84  6e0c                     bgt.b 0x00c1ad92
00c1ad92  1a3900c45785             move.b (0x00c45785).l,D5b
00c1ad98  1c3900c45878             move.b (0x00c45878).l,D6b
00c1ad9e  163900c458ae             move.b (0x00c458ae).l,D3b
00c1ada4  0c030003                 cmpi.b #0x3,D3b
00c1ada8  6700028e                 beq.w 0x00c1b038
00c1adac  4a3900c457d3             tst.b (0x00c457d3).l
00c1adb2  66000284                 bne.w 0x00c1b038
00c1adb6  4a3900c458ad             tst.b (0x00c458ad).l
00c1adbc  6600027a                 bne.w 0x00c1b038
00c1adc0  4a3900c45791             tst.b (0x00c45791).l
00c1adc6  660001da                 bne.w 0x00c1afa2
00c1adca  4a3900c45787             tst.b (0x00c45787).l
00c1add0  670001d0                 beq.w 0x00c1afa2
00c1add4  4a3900c458a6             tst.b (0x00c458a6).l
00c1adda  670001c6                 beq.w 0x00c1afa2
00c1adde  123900c4584b             move.b (0x00c4584b).l,D1b
00c1ade4  6d0001bc                 blt.w 0x00c1afa2
00c1ade8  0c010003                 cmpi.b #0x3,D1b
00c1adec  67000242                 beq.w 0x00c1b030
00c1adf0  4a03                     tst.b D3b
00c1adf2  660000ec                 bne.w 0x00c1aee0
00c1adf6  0c39000200c458a6         cmpi.b #0x2,(0x00c458a6).l
00c1adfe  670000e0                 beq.w 0x00c1aee0
00c1ae02  183900c46200             move.b (0x00c46200).l,D4b
00c1ae08  0204000f                 andi.b #0xf,D4b
00c1ae0c  660000d2                 bne.w 0x00c1aee0
00c1ae10  0c010001                 cmpi.b #0x1,D1b
00c1ae14  670000ca                 beq.w 0x00c1aee0
00c1ae18  0c010002                 cmpi.b #0x2,D1b
00c1ae1c  670000c2                 beq.w 0x00c1aee0
00c1ae20  0c010005                 cmpi.b #0x5,D1b
00c1ae24  6c00020a                 bge.w 0x00c1b030
00c1ae28  0c000040                 cmpi.b #0x40,D0b
00c1ae2c  670003ee                 beq.w 0x00c1b21c
00c1ae30  0c00004c                 cmpi.b #0x4c,D0b
00c1ae34  670006c6                 beq.w 0x00c1b4fc
00c1ae38  0c00004d                 cmpi.b #0x4d,D0b
00c1ae3c  670006b6                 beq.w 0x00c1b4f4
00c1ae40  0c00004f                 cmpi.b #0x4f,D0b
00c1ae44  670006fa                 beq.w 0x00c1b540
00c1ae48  0c00004e                 cmpi.b #0x4e,D0b
00c1ae4c  670006fa                 beq.w 0x00c1b548
00c1ae50  0c000038                 cmpi.b #0x38,D0b
00c1ae54  67000738                 beq.w 0x00c1b58e
00c1ae58  0c000039                 cmpi.b #0x39,D0b
00c1ae5c  67000736                 beq.w 0x00c1b594
00c1ae60  0c00000c                 cmpi.b #0xc,D0b
00c1ae64  67000752                 beq.w 0x00c1b5b8
00c1ae68  0c00000b                 cmpi.b #0xb,D0b
00c1ae6c  6700074e                 beq.w 0x00c1b5bc
00c1ae70  0c00000d                 cmpi.b #0xd,D0b
00c1ae74  67000766                 beq.w 0x00c1b5dc
00c1ae78  0c000041                 cmpi.b #0x41,D0b
00c1ae7c  6700075e                 beq.w 0x00c1b5dc
00c1ae80  0c000012                 cmpi.b #0x12,D0b
00c1ae84  670002a0                 beq.w 0x00c1b126
00c1ae88  0c000013                 cmpi.b #0x13,D0b
00c1ae8c  6700033a                 beq.w 0x00c1b1c8
00c1ae90  0c000024                 cmpi.b #0x24,D0b
00c1ae94  67000d7c                 beq.w 0x00c1bc12
00c1ae98  0c000020                 cmpi.b #0x20,D0b
00c1ae9c  67000778                 beq.w 0x00c1b616
00c1aea0  0c000023                 cmpi.b #0x23,D0b
00c1aea4  6700123a                 beq.w 0x00c1c0e0
00c1aea8  0c000033                 cmpi.b #0x33,D0b
00c1aeac  670012c4                 beq.w 0x00c1c172
00c1aeb0  0c000026                 cmpi.b #0x26,D0b
00c1aeb4  6700133c                 beq.w 0x00c1c1f2
00c1aeb8  0c000025                 cmpi.b #0x25,D0b
00c1aebc  670003a6                 beq.w 0x00c1b264
00c1aec0  0c000021                 cmpi.b #0x21,D0b
00c1aec4  6700118c                 beq.w 0x00c1c052
00c1aec8  0c000014                 cmpi.b #0x14,D0b
00c1aecc  670002d6                 beq.w 0x00c1b1a4
00c1aed0  0c000015                 cmpi.b #0x15,D0b
00c1aed4  67000360                 beq.w 0x00c1b236
00c1aed8  0c000037                 cmpi.b #0x37,D0b
00c1aedc  670010ae                 beq.w 0x00c1bf8c
00c1bf8c  4a3900c458ae             tst.b (0x00c458ae).l
00c1bf92  660002a8                 bne.w 0x00c1c23c
00c1bf96  08f9000000c4599c         bset.b #0x0,(0x00c4599c).l
00c1bf9e  4a3900c457ad             tst.b (0x00c457ad).l
00c1bfa4  670e                     beq.b 0x00c1bfb4
00c1bfb4  3f00                     move.w D0w,-(SP)
00c1bfb6  4eb900c0f4a6             jsr 0x00c0f4a6.l
00c4ffb0  202f0004                 move.l (0x4,SP),D0
00c4ffb4  e580                     asl.l #0x2,D0
00c4ffb6  41f900c4fe28             lea (0xc4fe28).l,A0
00c4ffbc  20700000                 movea.l (0x0,A0,D0w*0x1),A0
00c4ffc0  33e8001400dff09c         move.w (0x14,A0),(0x00dff09c).l
00c500d8  48e7f0f8                 movem.l {  A4 A3 A2 A1 A0 D3 D2 D1 D0},-(SP)
00c500dc  33e9001600dff09c         move.w (0x16,A1),(0x00dff09c).l
00c500e4  20690000                 movea.l (0x0,A1),A0
00c500e8  24690004                 movea.l (0x4,A1),A2
00c500ec  266a0000                 movea.l (0x0,A2),A3
00c500f0  b7fc00000000             cmpa.l #0x0,A3
00c500f6  673c                     beq.b 0x00c50134
00c50134  317c00000008             move.w #0x0,(0x8,A0)
00c5013a  317c007c0006             move.w #0x7c,(0x6,A0)
00c50140  33e9001200dff096         move.w (0x12,A1),(0x00dff096).l
00c50148  303c0190                 move.w #0x190,D0w
00c5014c  04400001                 subi.w #0x1,D0w
00c50150  66fa                     bne.b 0x00c5014c
00c50152  4cdf1f0f                 movem.l (SP)+,{ D0 D1 D2 D3 A0 A1 A2 A3 A4}
00c50156  4e75                     rts
